r,l,t,precision,recall,f1,sustain_precision,sustain_recall,sustain_f1
35.181581,150,16.357017,0.6422222222222221,0.013333333333333334,0.36333333333333334,0.48,1.0,0.48
39.286676,150,17.854778,0.7083333333333334,0.013333333333333334,0.296,0.49333333333333335,1.0,0.49333333333333335
37.247221,150,19.325545,0.7077777777777778,0.013333333333333334,0.29523809523809524,0.49333333333333335,1.0,0.49333333333333335
25.505278,150,20.82281,0.6355555555555557,0.04,0.3855555555555556,0.46,1.0,0.46
23.623971,150,22.313087,0.575,0.02666666666666667,0.4315555555555556,0.48,1.0,0.48
20.750329,150,23.806347,0.6066666666666667,0.0,0.3933333333333333,0.5533333333333333,1.0,0.5533333333333333
49.120241,150,25.336222,0.6216666666666667,0.006666666666666667,0.376,0.5866666666666667,1.0,0.5866666666666667
30.148471,150,26.815005,0.6455555555555557,0.02,0.3611111111111111,0.4866666666666667,1.0,0.4866666666666667
8.628163,150,28.312498,0.5966666666666667,0.02,0.4066666666666666,0.4666666666666667,1.0,0.4666666666666667
33.301975,150,29.773178,0.6966666666666667,0.006666666666666667,0.3044444444444444,0.5133333333333333,1.0,0.5133333333333333
64.08522,150,31.271614,0.6591111111111112,0.04,0.34444444444444444,0.56,1.0,0.56
54.680429,150,32.795034,0.6466666666666666,0.0,0.35333333333333333,0.6133333333333333,1.0,0.6133333333333333
46.840256,150,34.290766,0.6716666666666666,0.013333333333333334,0.3271111111111111,0.5733333333333334,1.0,0.5733333333333334
62.369552,150,35.772404,0.66,0.0,0.34,0.6466666666666666,1.0,0.6466666666666666
67.550901,150,37.246522,0.71,0.006666666666666667,0.2911111111111111,0.64,1.0,0.64
80.395603,150,38.687387,0.7033333333333334,0.006666666666666667,0.29777777777777775,0.6866666666666666,1.0,0.6866666666666666
108.704624,150,40.140126,0.7288888888888889,0.006666666666666667,0.27,0.7866666666666666,1.0,0.7866666666666666
102.576832,150,41.581311,0.7422222222222223,0.013333333333333334,0.2633333333333333,0.72,1.0,0.72
103.244628,150,43.019079,0.7257777777777779,0.03333333333333333,0.28222222222222226,0.7533333333333333,1.0,0.7533333333333333
81.937525,150,44.474579,0.6511111111111112,0.02666666666666667,0.35968253968253966,0.7066666666666667,1.0,0.7066666666666667
113.168006,150,45.947555,0.6922222222222223,0.013333333333333334,0.30777777777777776,0.7933333333333333,1.0,0.7933333333333333
119.71777,150,47.392264,0.67,0.006666666666666667,0.3311111111111111,0.7733333333333333,1.0,0.7733333333333333
108.551308,150,48.837717,0.7322222222222223,0.013333333333333334,0.2677777777777778,0.7733333333333333,1.0,0.7733333333333333
130.191969,150,50.279985,0.7205555555555555,0.02,0.2771111111111111,0.7866666666666666,1.0,0.7866666666666666
