time/total_timesteps,train/ent_coef,time/time_elapsed,rollout/ep_rew_mean,train/n_updates,time/episodes,rollout/ep_len_mean,time/fps,train/critic_loss,train/actor_loss
600,0.8652164340019226,15,39.3881885,998,4,150.0,37,2.3437087535858154,-102.48501586914062
1200,0.7348765730857849,22,29.888952,2198,8,150.0,53,0.3439880311489105,-220.94842529296875
1800,0.6297026872634888,28,33.37827325000001,3398,12,150.0,63,0.2661401033401489,-320.392578125
2400,0.5430294275283813,34,39.9010419375,4598,16,150.0,69,0.2566298544406891,-401.044677734375
3000,0.47044837474823,40,51.67982579999999,5798,20,150.0,73,0.20435497164726257,-465.38519287109375
3600,0.40889793634414673,46,63.698362124999996,6998,24,150.0,77,0.13655789196491241,-515.7386474609375
4200,0.35621437430381775,52,74.76504667857141,8198,28,150.0,79,0.0893847644329071,-554.374267578125
4800,0.3108242154121399,58,86.08851296875,9398,32,150.0,81,0.07698290050029755,-583.0645751953125
5400,0.27152106165885925,64,95.69791002777778,10598,36,150.0,83,0.06703013926744461,-603.7100830078125
6000,0.23734553158283234,71,103.99616932500001,11798,40,150.0,84,0.05064234510064125,-617.2134399414062
6600,0.2075846791267395,77,112.76402204545455,12998,44,150.0,85,0.043433647602796555,-624.7027587890625
7200,0.18162639439105988,83,122.03549379166668,14198,48,150.0,86,0.04024927690625191,-627.5460205078125
7800,0.15897294878959656,89,131.28707351923077,15398,52,150.0,87,0.041456952691078186,-626.45703125
8400,0.1392124742269516,95,139.87788208928572,16598,56,150.0,88,0.03625762462615967,-622.6646728515625
9000,0.12196704000234604,101,149.64318661666667,17798,60,150.0,88,0.03644591197371483,-616.4281616210938
9600,0.10691665858030319,107,159.19178482812498,18998,64,150.0,89,0.03591577708721161,-608.54248046875
10200,0.09376513212919235,113,167.99922069117645,20198,68,150.0,89,0.041765376925468445,-599.1788330078125
10800,0.08225024491548538,119,176.20044401388887,21398,72,150.0,90,0.04253971204161644,-588.9246826171875
11400,0.07216868549585342,125,184.15539921052633,22598,76,150.0,90,0.041605398058891296,-577.5916748046875
12000,0.0633561760187149,131,191.48832295,23798,80,150.0,91,0.03943537175655365,-565.8399658203125
12600,0.05565514415502548,137,198.6769240238095,24998,84,150.0,91,0.03938928619027138,-553.8643798828125
13200,0.048922523856163025,143,205.50399973863634,26198,88,150.0,91,0.04274696856737137,-541.8487548828125
13800,0.04303348436951637,149,212.1199605217391,27398,92,150.0,92,0.04767148941755295,-529.4497680664062
14400,0.03789620101451874,155,218.68155503124999,28598,96,150.0,92,0.05283046513795853,-517.6490478515625
15000,0.033410485833883286,161,224.81961174,29798,100,150.0,92,0.050132740288972855,-505.5592956542969
15600,0.029461953788995743,167,238.30070044000004,30998,104,150.0,93,0.06080882251262665,-494.1403503417969
16200,0.026030369102954865,173,252.7862988,32198,108,150.0,93,0.061050403863191605,-482.8785400390625
16800,0.0230235755443573,179,266.25015281,33398,112,150.0,93,0.06534702330827713,-472.0032958984375
17400,0.02038033865392208,185,279.30931595000004,34598,116,150.0,93,0.06560122221708298,-462.0583190917969
18000,0.01806567795574665,191,291.02317654,35798,120,150.0,93,0.06558901071548462,-452.66009521484375
18600,0.016013294458389282,197,301.77973927000005,36998,124,150.0,94,0.060450877994298935,-443.30267333984375
19200,0.014217081479728222,203,312.23997574000003,38198,128,150.0,94,0.058568038046360016,-434.7395935058594
19800,0.01263822428882122,209,321.73389054,39398,132,150.0,94,0.06088874489068985,-426.6714782714844
20400,0.011246423237025738,215,330.8337631800001,40598,136,150.0,94,0.058823686093091965,-418.97906494140625
21000,0.010008418932557106,221,339.83209862,41798,140,150.0,94,0.056990981101989746,-411.8441467285156
21600,0.008939760737121105,227,347.95820461000005,42998,144,150.0,94,0.059780899435281754,-405.09112548828125
22200,0.007986849173903465,233,355.85964514,44198,148,150.0,94,0.058359675109386444,-399.0609130859375
22800,0.007147065829485655,239,362.5266499300001,45398,152,150.0,95,0.05401565879583359,-393.31243896484375
23400,0.006394151598215103,245,369.2489033,46598,156,150.0,95,0.05260704457759857,-387.9268798828125
24000,0.005732497666031122,251,374.0599928199999,47798,160,150.0,95,0.05079858750104904,-383.0576477050781
24600,0.0051762112416327,257,378.61142674,48998,164,150.0,95,0.04717378690838814,-378.24822998046875
25200,0.004666191525757313,263,382.9139890199999,50198,168,150.0,95,0.0617658793926239,-374.0736999511719
25800,0.004228163044899702,269,387.1371373899999,51398,172,150.0,95,0.04841640964150429,-370.2349853515625
26400,0.00385485403239727,275,390.7969887800001,52598,176,150.0,95,0.050817299634218216,-366.4532470703125
27000,0.0035322417970746756,281,394.4513337899999,53798,180,150.0,95,0.05076662451028824,-363.0562744140625
27600,0.0032556476071476936,287,397.39157009999997,54998,184,150.0,95,0.05756507068872452,-360.0177917480469
28200,0.003047671401873231,293,400.50257311,56198,188,150.0,95,0.056248739361763,-357.30596923828125
28800,0.0028259928803890944,299,403.03719851999995,57398,192,150.0,96,0.04877123236656189,-354.5455017089844
29400,0.0026736578438431025,305,405.55780992000007,58598,196,150.0,96,0.052768588066101074,-352.1868896484375
30000,0.002608681796118617,311,407.82104711999983,59798,200,150.0,96,0.054460398852825165,-350.47027587890625
30600,0.002529618563130498,317,409.90524871,60998,204,150.0,96,0.0528513640165329,-348.08489990234375
31200,0.0024498284328728914,323,412.16039080999997,62198,208,150.0,96,0.052234552800655365,-346.11260986328125
31800,0.0024239392951130867,329,414.61160378000005,63398,212,150.0,96,0.052465274930000305,-344.46917724609375
32400,0.00244005024433136,335,416.11998090000003,64598,216,150.0,96,0.04851462319493294,-342.60174560546875
33000,0.002500843023881316,341,417.28876318999994,65798,220,150.0,96,0.05471179261803627,-341.349609375
33600,0.0025461504701524973,348,418.63079136,66998,224,150.0,96,0.058365531265735626,-339.8846435546875
34200,0.00253180880099535,354,419.89460686999996,68198,228,150.0,96,0.05043655261397362,-338.64739990234375
34800,0.0025874897837638855,360,421.64150176,69398,232,150.0,96,0.05401647090911865,-337.44085693359375
35400,0.002463388256728649,366,423.0918377199999,70598,236,150.0,96,0.04819769784808159,-335.64990234375
36000,0.002362368628382683,372,424.19588225000007,71798,240,150.0,96,0.051797010004520416,-334.74407958984375
36600,0.0024822638370096684,378,425.22200755000006,72998,244,150.0,96,0.06315313279628754,-333.9135437011719
37200,0.002404123079031706,384,425.17832798,74198,248,150.0,96,0.05202016606926918,-332.6393737792969
37800,0.002465137979015708,390,426.87145534,75398,252,150.0,96,0.05381883308291435,-332.2825012207031
38400,0.002445411868393421,396,427.79325659999995,76598,256,150.0,96,0.05264195427298546,-331.1679992675781
39000,0.0023879827931523323,402,429.38698953,77798,260,150.0,96,0.0497007817029953,-330.273193359375
39600,0.002394435228779912,409,430.31875558,78998,264,150.0,96,0.05511931702494621,-329.4267578125
40200,0.002383923390880227,415,430.9391531499999,80198,268,150.0,96,0.057696495205163956,-328.6996154785156
40800,0.0023621299769729376,421,431.41926897999997,81398,272,150.0,96,0.05732404813170433,-328.199951171875
41400,0.0024753741454333067,427,432.69939692999986,82598,276,150.0,96,0.050538744777441025,-327.7109680175781
42000,0.0024765534326434135,433,433.23769029999994,83798,280,150.0,96,0.05353640019893646,-327.17193603515625
42600,0.002413806738331914,439,434.14722452,84998,284,150.0,96,0.05269797518849373,-326.33599853515625
43200,0.002344752661883831,445,434.84720603,86198,288,150.0,97,0.05040106922388077,-325.8833923339844
43800,0.002388313179835677,451,435.20055338000003,87398,292,150.0,97,0.053856540471315384,-325.05560302734375
44400,0.002411190653219819,457,435.69508556,88598,296,150.0,97,0.053716979920864105,-324.98309326171875
45000,0.0024519390426576138,463,435.8783622800001,89798,300,150.0,97,0.052711959928274155,-324.5313720703125
45600,0.002358995145186782,469,436.32735539999993,90998,304,150.0,97,0.053848039358854294,-323.8966369628906
46200,0.0024588361848145723,475,436.65385000000003,92198,308,150.0,97,0.05079944059252739,-323.34234619140625
46800,0.0024437683168798685,481,437.05875584000006,93398,312,150.0,97,0.05794774740934372,-322.71099853515625
47400,0.0024283169768750668,487,437.7683172,94598,316,150.0,97,0.054773375391960144,-322.4096374511719
48000,0.002359486650675535,493,438.85647944000004,95798,320,150.0,97,0.05103019252419472,-322.3531188964844
48600,0.0023477766662836075,499,439.65257016000004,96998,324,150.0,97,0.057375043630599976,-321.85693359375
49200,0.0023404040839523077,505,439.76893019000005,98198,328,150.0,97,0.05457049235701561,-321.77716064453125
49800,0.002394983312115073,511,439.82549613,99398,332,150.0,97,0.054583288729190826,-320.97149658203125
50400,0.002449365798383951,517,440.43763599000005,100598,336,150.0,97,0.06108102574944496,-320.7188720703125
51000,0.0023966433946043253,523,441.2446758200001,101798,340,150.0,97,0.05495031550526619,-320.72296142578125
51600,0.0023328608367592096,529,441.99097323999996,102998,344,150.0,97,0.05494154617190361,-320.5628662109375
52200,0.0023202584125101566,535,443.28654180000007,104198,348,150.0,97,0.05422743037343025,-320.3199157714844
52800,0.002335812896490097,541,443.3505265299999,105398,352,150.0,97,0.052439913153648376,-319.7569274902344
53400,0.0023589367046952248,547,443.5871322,106598,356,150.0,97,0.055658429861068726,-319.2834777832031
54000,0.002306607086211443,553,443.79916184,107798,360,150.0,97,0.046947579830884933,-319.7087097167969
54600,0.0022733232472091913,560,444.15787285000005,108998,364,150.0,97,0.053988322615623474,-318.99737548828125
55200,0.0023630887735635042,566,444.96207112,110198,368,150.0,97,0.05397140979766846,-318.85284423828125
55800,0.0024077286943793297,572,445.27679688000006,111398,372,150.0,97,0.06087184697389603,-318.5115966796875
56400,0.0023907991126179695,578,445.12272451000007,112598,376,150.0,97,0.06183338537812233,-318.18701171875
57000,0.0023707756772637367,584,445.38600242,113798,380,150.0,97,0.057911138981580734,-317.86138916015625
57600,0.0023254298139363527,590,445.45120778000006,114998,384,150.0,97,0.05628680810332298,-318.8819580078125
58200,0.002314241835847497,596,445.74797706000004,116198,388,150.0,97,0.05986431613564491,-318.67437744140625
58800,0.002338533289730549,602,446.8430084599999,117398,392,150.0,97,0.05103494971990585,-318.3155517578125
59400,0.0023943495471030474,608,446.9174413299999,118598,396,150.0,97,0.05431508272886276,-318.0014343261719
60000,0.0023025060072541237,614,447.7783083600001,119798,400,150.0,97,0.05403999611735344,-317.94635009765625
60600,0.0023097393568605185,620,448.20861290999994,120998,404,150.0,97,0.053361523896455765,-317.92816162109375
61200,0.002400121185928583,626,447.86030111,122198,408,150.0,97,0.06544162333011627,-317.50616455078125
61800,0.002301574219018221,632,448.20474945000007,123398,412,150.0,97,0.04852801188826561,-318.10064697265625
62400,0.002371065318584442,638,448.7890815500001,124598,416,150.0,97,0.060486629605293274,-317.6315002441406
63000,0.0022931345738470554,644,449.03409252999995,125798,420,150.0,97,0.0507202111184597,-318.1146240234375
63600,0.002306543290615082,650,449.46305627000004,126998,424,150.0,97,0.05631428211927414,-317.71514892578125
