time/fps,train/critic_loss,time/episodes,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,train/n_updates,train/ent_coef,train/actor_loss
66,0.02724372036755085,4,150.0,600,277.53207875,9,800798,0.0014660911401733756,-333.83349609375
78,0.017433738335967064,8,150.0,1200,298.88907975,15,801998,0.0017382979858666658,-329.03521728515625
82,0.02088371105492115,12,150.0,1800,310.0049828333334,21,803198,0.0020279819145798683,-324.7362060546875
86,0.0241441298276186,16,150.0,2400,313.8698638125,27,804398,0.0022567391861230135,-320.8891906738281
88,0.02219335548579693,20,150.0,3000,317.54678555,33,805598,0.002499295398592949,-316.95477294921875
89,0.024912411347031593,24,150.0,3600,321.6175596666667,40,806798,0.002590056275948882,-313.6187438964844
90,0.023318445309996605,28,150.0,4200,323.77973064285715,46,807998,0.0025689543690532446,-310.1612548828125
91,0.027555111795663834,32,150.0,4800,324.42265462500006,52,809198,0.0026061853859573603,-307.02789306640625
92,0.02283482439815998,36,150.0,5400,326.0910248333334,58,810398,0.002565124537795782,-304.7225341796875
92,0.024632422253489494,40,150.0,6000,326.527913075,64,811598,0.0026038573123514652,-301.314697265625
93,0.02652653306722641,44,150.0,6600,327.6443863863637,70,812798,0.0026570060290396214,-299.03692626953125
93,0.029074611142277718,48,150.0,7200,328.42476200000004,77,813998,0.002630034927278757,-296.5021667480469
93,0.03138420358300209,52,150.0,7800,328.7545546153846,83,815198,0.0026406371034681797,-294.1371154785156
93,0.028693636879324913,56,150.0,8400,329.45165423214286,89,816398,0.0026665772311389446,-291.8558654785156
93,0.03139650076627731,60,150.0,9000,330.3011066333333,95,817598,0.0027157538570463657,-290.2012939453125
94,0.03230905160307884,64,150.0,9600,331.19393609375004,101,818798,0.002537901746109128,-288.1854248046875
94,0.029368704184889793,68,150.0,10200,331.75074292647065,107,819998,0.0025496981106698513,-286.0822448730469
94,0.029393527656793594,72,150.0,10800,332.600838,113,821198,0.0025194622576236725,-284.2142333984375
94,0.027849238365888596,76,150.0,11400,333.06680714473686,120,822398,0.002546526724472642,-282.62860107421875
95,0.0290763471275568,80,150.0,12000,333.37436636250004,126,823598,0.0024568273220211267,-281.6197509765625
95,0.030969584360718727,84,150.0,12600,334.08937101190475,132,824798,0.002462508622556925,-280.146484375
95,0.03525397181510925,88,150.0,13200,334.4892075909091,138,825998,0.002560968976467848,-279.08465576171875
95,0.03133312240242958,92,150.0,13800,335.04195317391304,144,827198,0.0026131998747587204,-277.330810546875
95,0.034265171736478806,96,150.0,14400,335.22801821875004,150,828398,0.0026500518433749676,-276.5448303222656
95,0.03752986341714859,100,150.0,15000,335.29704977,156,829598,0.002682132413610816,-276.0409851074219
95,0.038066986948251724,104,150.0,15600,337.99158811999996,163,830798,0.002600309904664755,-274.76318359375
95,0.032967548817396164,108,150.0,16200,339.24115370999994,169,831998,0.002623460255563259,-273.93084716796875
95,0.03123817779123783,112,150.0,16800,339.98092318999994,175,833198,0.002615539822727442,-273.60845947265625
95,0.035934049636125565,116,150.0,17400,341.0965982,181,834398,0.002509164856746793,-272.38238525390625
95,0.029345404356718063,120,150.0,18000,341.32016480999994,187,835598,0.0024041403084993362,-272.00146484375
96,0.030437922105193138,124,150.0,18600,341.4872459300001,193,836798,0.0024353880435228348,-270.9248352050781
96,0.031206758692860603,128,150.0,19200,342.05499020999997,199,837998,0.002510802121832967,-270.2745361328125
96,0.030573850497603416,132,150.0,19800,342.93701001999995,206,839198,0.002420704113319516,-269.8787841796875
96,0.032789669930934906,136,150.0,20400,343.24579909000005,212,840398,0.0024523516185581684,-268.9387512207031
96,0.0346040353178978,140,150.0,21000,344.05172002000006,218,841598,0.002418378135189414,-268.57061767578125
96,0.02896345779299736,144,150.0,21600,344.92603244,224,842798,0.002323235385119915,-268.17529296875
96,0.030264923349022865,148,150.0,22200,345.75162711999997,230,843998,0.002347039058804512,-267.44757080078125
96,0.03045448288321495,152,150.0,22800,346.3548938099999,236,845198,0.002369683003053069,-266.92999267578125
96,0.03433510288596153,156,150.0,23400,346.7724238399999,243,846398,0.002430201508104801,-266.44573974609375
95,0.033980101346969604,160,150.0,24000,347.4177734,250,847598,0.002500883536413312,-266.1258850097656
96,0.03491812199354172,164,150.0,24600,348.0450142,256,848798,0.0024982981849461794,-265.95135498046875
96,0.03333799168467522,168,150.0,25200,348.38802464,262,849998,0.002432086504995823,-265.3221740722656
96,0.03558505326509476,172,150.0,25800,348.91689477,268,851198,0.0024680313654243946,-264.71368408203125
96,0.03431714326143265,176,150.0,26400,349.2578602700001,274,852398,0.0024266443215310574,-264.7598876953125
96,0.029313355684280396,180,150.0,27000,350.31772074,280,853598,0.002360705519095063,-264.2167663574219
96,0.03719191253185272,184,150.0,27600,350.53744509000006,286,854798,0.002403778024017811,-263.7850036621094
96,0.03259008750319481,188,150.0,28200,351.07259563,293,855998,0.002368262968957424,-263.7113037109375
96,0.03369636461138725,192,150.0,28800,351.34716329,299,857198,0.0023336654994636774,-263.2900390625
96,0.03327498212456703,196,150.0,29400,351.82290076000004,305,858398,0.0022976144682615995,-263.29327392578125
96,0.03761567175388336,200,150.0,30000,352.8663061,311,859598,0.002357186982408166,-262.7071838378906
96,0.03274025022983551,204,150.0,30600,353.4057434,317,860798,0.0023447470739483833,-262.7720947265625
96,0.03645840287208557,208,150.0,31200,353.61539228000004,323,861998,0.0023867511190474033,-262.445556640625
96,0.038872309029102325,212,150.0,31800,354.13414752999995,329,863198,0.002347378060221672,-262.3675537109375
96,0.038037240505218506,216,150.0,32400,354.02963729999993,335,864398,0.0023843953385949135,-261.65802001953125
96,0.035978201776742935,220,150.0,33000,355.05207828000005,342,865598,0.002372224349528551,-262.055908203125
96,0.036430198699235916,224,150.0,33600,355.20688315000007,348,866798,0.0023106879089027643,-261.71527099609375
96,0.03777666389942169,228,150.0,34200,355.7747035399999,354,867998,0.002285676309838891,-261.8280334472656
96,0.0388212688267231,232,150.0,34800,355.88814569000004,360,869198,0.002363471779972315,-261.328369140625
96,0.03785577788949013,236,150.0,35400,355.89890747000004,366,870398,0.0023271457757800817,-261.64501953125
96,0.03648359328508377,240,150.0,36000,356.15522548,372,871598,0.0022557666525244713,-261.261474609375
96,0.03726058453321457,244,150.0,36600,356.2261268699999,378,872798,0.0022928863763809204,-261.23468017578125
96,0.04115043580532074,248,150.0,37200,355.84888398000004,384,873998,0.002357080113142729,-260.9210205078125
96,0.030924344435334206,252,150.0,37800,356.59913626,391,875198,0.0022355529945343733,-261.3765869140625
96,0.03189358115196228,256,150.0,38400,357.50479804,397,876398,0.002238636836409569,-261.07940673828125
96,0.033039748668670654,260,150.0,39000,357.77197213,403,877598,0.0022630279418081045,-261.2176513671875
96,0.04635004699230194,264,150.0,39600,358.15679464999994,409,878798,0.0022796483244746923,-261.011962890625
96,0.038857556879520416,268,150.0,40200,358.1013387,415,879998,0.002245323732495308,-261.10345458984375
96,0.03436620533466339,272,150.0,40800,358.14071581999997,421,881198,0.0021799199748784304,-260.70892333984375
96,0.03307216614484787,276,150.0,41400,358.83955387000003,427,882398,0.002168571576476097,-261.0762939453125
96,0.031195668503642082,280,150.0,42000,358.88630965,434,883598,0.0021340118255466223,-260.6349792480469
96,0.033890292048454285,284,150.0,42600,359.4538481800001,440,884798,0.0021455944515764713,-260.4899597167969
96,0.03266039118170738,288,150.0,43200,359.63293085000004,446,885998,0.0021771297324448824,-260.778564453125
96,0.02886625938117504,292,150.0,43800,360.10686473000004,452,887198,0.0021862825378775597,-260.64508056640625
96,0.027318909764289856,296,150.0,44400,360.74050646,458,888398,0.002158265095204115,-260.9607238769531
96,0.029125893488526344,300,150.0,45000,360.87259238,464,889598,0.002107040723785758,-260.24517822265625
96,0.0328032486140728,304,150.0,45600,360.71258539999997,470,890798,0.002110472647473216,-260.1358947753906
96,0.031740643084049225,308,150.0,46200,360.7017855699999,476,891998,0.0020867951679974794,-260.2591552734375
96,0.03528914973139763,312,150.0,46800,360.80395438999983,482,893198,0.002078617922961712,-260.28619384765625
96,0.03212500736117363,316,150.0,47400,361.42738567,489,894398,0.0020587474573403597,-260.15869140625
96,0.0336398147046566,320,150.0,48000,361.4700546300001,495,895598,0.002105910796672106,-259.853759765625
96,0.027903545647859573,324,150.0,48600,361.92426035999995,501,896798,0.002078720135614276,-260.1963195800781
96,0.030701715499162674,328,150.0,49200,362.28371827,507,897998,0.0020614576060324907,-260.00726318359375
96,0.03125855326652527,332,150.0,49800,362.45001415,513,899198,0.0021180107723921537,-260.1309509277344
96,0.030422914773225784,336,150.0,50400,363.0141746199999,520,900398,0.002066302578896284,-259.97808837890625
96,0.03594643622636795,340,150.0,51000,363.21642248000006,526,901598,0.002034317934885621,-259.8951721191406
96,0.03133811056613922,344,150.0,51600,363.5828679400001,532,902798,0.0020583951845765114,-259.79290771484375
96,0.028339698910713196,348,150.0,52200,364.39055928999994,538,903998,0.0020112849306315184,-259.732421875
96,0.027425292879343033,352,150.0,52800,364.1877276099999,544,905198,0.002008171519264579,-259.4420166015625
96,0.026881160214543343,356,150.0,53400,364.07031992000003,550,906398,0.001979024847969413,-259.4500732421875
96,0.027439618483185768,360,150.0,54000,364.24530742,557,907598,0.0019699919503182173,-259.73907470703125
96,0.031783100217580795,364,150.0,54600,364.40879509,563,908798,0.0020611805375665426,-259.3477783203125
96,0.03166990727186203,368,150.0,55200,364.89605084000004,569,909998,0.0020739666651934385,-259.715087890625
96,0.030195889994502068,372,150.0,55800,365.09238493,576,911198,0.0019710096530616283,-259.56304931640625
96,0.02892272360622883,376,150.0,56400,365.24648852999997,582,912398,0.001917226705700159,-259.646728515625
96,0.028811782598495483,380,150.0,57000,365.6377319299999,588,913598,0.0019452961860224605,-259.31689453125
96,0.032919544726610184,384,150.0,57600,365.73288100999997,594,914798,0.001948260236531496,-259.65869140625
96,0.028719967231154442,388,150.0,58200,365.98885892,601,915998,0.0019306980539113283,-259.2958068847656
96,0.028913840651512146,392,150.0,58800,366.15267282,607,917198,0.001930591301061213,-259.5369873046875
96,0.029693471267819405,396,150.0,59400,366.29405468,613,918398,0.0019205985590815544,-259.4034423828125
96,0.02590111456811428,400,150.0,60000,366.3225096599999,619,919598,0.001929971855133772,-259.44549560546875
96,0.025463571771979332,404,150.0,60600,367.02008474,625,920798,0.001961978618055582,-259.2865295410156
96,0.031076647341251373,408,150.0,61200,367.6152704000001,631,921998,0.001967779127880931,-259.0372314453125
96,0.0273990910500288,412,150.0,61800,367.18449161999996,637,923198,0.001964888535439968,-259.1705322265625
96,0.02913404442369938,416,150.0,62400,367.19374225000007,643,924398,0.001982828602194786,-259.4027404785156
96,0.027204500511288643,420,150.0,63000,367.15234251999993,649,925598,0.0019305195892229676,-259.255859375
96,0.027090663090348244,424,150.0,63600,367.71014062999996,655,926798,0.0019103132653981447,-259.20623779296875
97,0.029813477769494057,428,150.0,64200,367.9094809999999,661,927998,0.0019190871389582753,-259.18951416015625
97,0.028500091284513474,432,150.0,64800,368.55980579000004,667,929198,0.0019069849513471127,-259.0424499511719
97,0.033290594816207886,436,150.0,65400,369.23048823000005,673,930398,0.0019619776867330074,-259.15069580078125
97,0.0286141037940979,440,150.0,66000,369.43558873,679,931598,0.0019904221408069134,-259.277587890625
97,0.02736816741526127,444,150.0,66600,369.122664,685,932798,0.001973075559362769,-259.0224304199219
97,0.030450213700532913,448,150.0,67200,369.29813002000003,692,933998,0.0018916412955150008,-259.05291748046875
97,0.029746219515800476,452,150.0,67800,369.64758349000005,698,935198,0.0018845010781660676,-258.9774475097656
