rollout/ep_len_mean,train/ent_coef,time/fps,train/n_updates,time/time_elapsed,time/total_timesteps,train/actor_loss,time/episodes,train/critic_loss,rollout/ep_rew_mean
158.0,0.8574608564376831,38,1062,16,632,-109.02908325195312,4,1.8526662588119507,40.774978000000004
158.0,0.7225775122642517,55,2326,22,1264,-233.17562866210938,8,0.33610957860946655,43.375541375
158.0,0.6146981716156006,65,3590,28,1896,-335.35076904296875,12,0.2800282835960388,42.23400066666667
158.0,0.526418924331665,72,4854,34,2528,-416.95361328125,16,0.22366291284561157,45.45423675
158.0,0.4529377818107605,77,6118,41,3160,-480.879150390625,20,0.17617270350456238,53.61766205
158.0,0.3909919559955597,80,7382,47,3792,-529.5829467773438,24,0.12040937691926956,64.35294499999999
158.0,0.33828017115592957,83,8646,53,4424,-565.9397583007812,28,0.0808049663901329,72.89745624999999
158.0,0.29311665892601013,85,9910,59,5056,-591.79931640625,32,0.06753719598054886,83.32197315625
158.0,0.2542576193809509,86,11174,65,5688,-609.01953125,36,0.06218237802386284,92.82658877777777
158.0,0.22071368992328644,88,12438,71,6320,-619.2211303710938,40,0.048655543476343155,101.08457605000001
158.0,0.191691055893898,89,13702,77,6952,-623.56201171875,44,0.03987802565097809,109.47438088636368
