train/n_updates,train/ent_coef,train/actor_loss,time/fps,time/time_elapsed,train/critic_loss,rollout/ep_len_mean,time/episodes,time/total_timesteps,rollout/ep_rew_mean
998,0.865207314491272,-100.70065307617188,38,15,2.8274638652801514,150.0,4,600,34.305189
2198,0.734865665435791,-218.08343505859375,55,21,0.3851139545440674,150.0,8,1200,32.607971
3398,0.6296932101249695,-317.41705322265625,65,27,0.3245394825935364,150.0,12,1800,35.12996291666666
4598,0.5430238842964172,-398.2147216796875,71,33,0.2724495232105255,150.0,16,2400,42.41974168749999
5798,0.4704509675502777,-462.788818359375,76,39,0.22497150301933289,150.0,20,3000,53.75897379999999
6998,0.4089214503765106,-513.3031005859375,79,45,0.16394959390163422,150.0,24,3600,64.450355375
8198,0.35624784231185913,-552.589111328125,82,50,0.09722409397363663,150.0,28,4200,75.49251589285713
9398,0.31085214018821716,-581.5183715820312,84,56,0.07178789377212524,150.0,32,4800,86.256059625
10598,0.2715173661708832,-602.1068115234375,86,62,0.05980239436030388,150.0,36,5400,95.75993302777779
11798,0.2373276650905609,-615.783203125,87,68,0.052742037922143936,150.0,40,6000,105.56022415
12998,0.20754845440387726,-623.47802734375,88,74,0.04331471025943756,150.0,44,6600,114.43503872727274
14198,0.18158364295959473,-626.455078125,89,80,0.044335585087537766,150.0,48,7200,123.07223675
15398,0.15892545878887177,-625.6021728515625,90,86,0.04001462832093239,150.0,52,7800,132.41184046153847
16598,0.13915272057056427,-621.7376098632812,91,92,0.04052974656224251,150.0,56,8400,141.91170064285714
17798,0.12188559025526047,-615.6631469726562,91,97,0.03620632737874985,150.0,60,9000,151.16469294999996
18998,0.10681349784135818,-607.7597045898438,92,103,0.0403570681810379,150.0,64,9600,159.72762
20198,0.09363167732954025,-598.414794921875,92,109,0.03888076916337013,150.0,68,10200,167.24620789705884
21398,0.08210805803537369,-587.8679809570312,93,115,0.042879872024059296,150.0,72,10800,175.41065752777777
22598,0.07204382121562958,-576.4590454101562,93,121,0.05037158355116844,150.0,76,11400,182.57309415789473
23798,0.06323476880788803,-564.796630859375,94,127,0.044900428503751755,150.0,80,12000,189.75069691250002
24998,0.05553998053073883,-552.3734741210938,94,133,0.04771208018064499,150.0,84,12600,197.0853090595238
26198,0.04883702099323273,-540.1510009765625,95,138,0.05071616545319557,150.0,88,13200,203.82548
27398,0.0429595410823822,-527.6080322265625,95,144,0.053350504487752914,150.0,92,13800,209.98430425
28598,0.03781868517398834,-515.57958984375,95,150,0.05819955840706825,150.0,96,14400,216.18206837499997
29798,0.03331261873245239,-503.33056640625,95,156,0.052979499101638794,150.0,100,15000,222.45502822999998
30998,0.029363112524151802,-491.6916809082031,96,162,0.05532117187976837,150.0,104,15600,235.53547913
32198,0.025912422686815262,-480.34124755859375,96,168,0.05775481089949608,150.0,108,16200,249.06621929000002
33398,0.022902050986886024,-469.59918212890625,96,173,0.05970194935798645,150.0,112,16800,262.93132282000005
34598,0.020275859162211418,-459.2862243652344,96,179,0.06583050638437271,150.0,116,17400,275.27167959
35798,0.01797865889966488,-449.69134521484375,96,185,0.06943296641111374,150.0,120,18000,286.4125051
36998,0.015940044075250626,-440.3090515136719,97,191,0.06576765328645706,150.0,124,18600,296.71560861
38198,0.014145436696708202,-431.8277587890625,97,197,0.06544759124517441,150.0,128,19200,306.59263986
39398,0.01257132925093174,-423.79986572265625,97,202,0.06636479496955872,150.0,132,19800,315.44948869
40598,0.011203725822269917,-416.04571533203125,97,208,0.07590394467115402,150.0,136,20400,324.24078079000003
41798,0.009982205927371979,-409.0072021484375,97,214,0.06862384080886841,150.0,140,21000,332.16387670000006
42998,0.008905336260795593,-402.75323486328125,97,220,0.06091023609042168,150.0,144,21600,339.86555541000007
44198,0.0079609714448452,-396.54925537109375,97,226,0.06524006277322769,150.0,148,22200,346.78313206
45398,0.00714173773303628,-390.86248779296875,97,232,0.06203976273536682,150.0,152,22800,353.27971048000006
46598,0.00638970173895359,-385.54443359375,97,238,0.06311336159706116,150.0,156,23400,358.80416262
47798,0.005754574667662382,-380.7353210449219,98,244,0.059063948690891266,150.0,160,24000,363.97932820999995
48998,0.005201113410294056,-376.3145751953125,98,250,0.06609974801540375,150.0,164,24600,368.63124507
50198,0.004712261259555817,-372.139892578125,98,256,0.0583467036485672,150.0,168,25200,373.41697882
51398,0.004280070308595896,-368.359130859375,98,262,0.061382513493299484,150.0,172,25800,377.1936314299999
52598,0.003902292111888528,-364.9671936035156,98,268,0.06608707457780838,150.0,176,26400,380.8598137
53798,0.0035792100243270397,-361.8798828125,98,274,0.061273057013750076,150.0,180,27000,385.19297192
54998,0.003294512862339616,-358.93463134765625,98,280,0.06562071293592453,150.0,184,27600,388.12998008999995
56198,0.003048111917451024,-356.459716796875,98,286,0.06377638131380081,150.0,188,28200,391.17009438
