train/n_updates,train/actor_loss,time/time_elapsed,train/ent_coef,time/episodes,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/fps,train/critic_loss
998,-102.31495666503906,16,0.8651670217514038,4,150.0,600,30.905078000000003,35,2.0431880950927734
2198,-221.0655059814453,23,0.7348206639289856,8,150.0,1200,31.045306125000003,51,0.370455801486969
3398,-320.4855651855469,29,0.6296490430831909,12,150.0,1800,34.406186999999996,61,0.26948660612106323
4598,-401.5174560546875,35,0.5429825782775879,16,150.0,2400,44.8750171875,67,0.23452135920524597
5798,-465.9132080078125,41,0.4703996777534485,20,150.0,3000,55.85363075,71,0.19889724254608154
6998,-516.4761962890625,48,0.40884891152381897,24,150.0,3600,66.52252529166667,74,0.11655700951814651
8198,-555.1536865234375,54,0.35615766048431396,28,150.0,4200,76.33498903571429,77,0.07868883013725281
9398,-583.75537109375,60,0.31073880195617676,32,150.0,4800,86.32220940625001,79,0.06554021686315536
10598,-603.951416015625,66,0.27140721678733826,36,150.0,5400,95.54747747222224,81,0.05257898569107056
11798,-617.2716064453125,72,0.2372315675020218,40,150.0,6000,104.898481275,82,0.044593144208192825
12998,-624.678466796875,78,0.20747192203998566,44,150.0,6600,113.55480954545456,83,0.03901221975684166
14198,-627.4089965820312,85,0.1815115362405777,48,150.0,7200,121.65239191666666,84,0.03310393914580345
15398,-626.1097412109375,91,0.1588335484266281,52,150.0,7800,129.08364471153848,85,0.03103841468691826
16598,-621.7283325195312,97,0.13901692628860474,56,150.0,8400,135.89935439285713,86,0.029429759830236435
17798,-614.8377685546875,103,0.12169478833675385,60,150.0,9000,142.59501918333336,86,0.025234404951334
18998,-605.8703002929688,110,0.10654892027378082,64,150.0,9600,148.54746946875,87,0.0256067905575037
