train/n_updates,rollout/ep_rew_mean,time/episodes,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/fps,train/ent_coef,train/critic_loss,train/actor_loss
10366,682.68693375,4,1321.0,61,5284,85,0.27864736318588257,0.06054306775331497,-596.6488647460938
20934,1290.055784875,8,1321.0,113,10568,92,0.08629253506660461,0.034177664667367935,-583.9254150390625
31502,1635.8732430833334,12,1321.0,165,15852,95,0.027450287714600563,0.06065693870186806,-465.13519287109375
42070,1854.210007625,16,1321.0,218,21136,96,0.009407227858901024,0.07639266550540924,-372.82110595703125
52638,1982.9067065,20,1321.0,270,26420,97,0.005065996665507555,0.6614816188812256,-350.54644775390625
63206,2007.976676666667,24,1321.0,322,31704,98,0.005625093821436167,0.5958051681518555,-369.9541320800781
73774,2046.2454866785715,28,1321.0,374,36988,98,0.004024461377412081,0.4525977075099945,-364.0777893066406
84342,2089.30799540625,32,1321.0,425,42272,99,0.002798567060381174,0.26604509353637695,-333.14727783203125
94910,2138.308526111111,36,1321.0,477,47556,99,0.002126385224983096,0.18601299822330475,-302.24444580078125
105478,2187.238682,40,1321.0,528,52840,99,0.0018931437516584992,0.13723747432231903,-279.13018798828125
116046,2228.44850075,44,1321.0,580,58124,100,0.0018669278360903263,0.14465706050395966,-264.3472900390625
126614,2264.223287833334,48,1321.0,632,63408,100,0.0017467306461185217,0.107615627348423,-255.1387176513672
137182,2298.220355923077,52,1321.0,685,68692,100,0.0016661793924868107,0.09143582731485367,-248.03988647460938
147750,2329.113978482143,56,1321.0,736,73976,100,0.001678065164014697,0.08931305259466171,-243.6207275390625
158318,2355.4290841166667,60,1321.0,788,79260,100,0.0020022382959723473,0.14355026185512543,-240.99716186523438
168886,2374.536072859375,64,1321.0,840,84544,100,0.0021827679593116045,0.19025056064128876,-246.64370727539062
179454,2394.4972816176473,68,1321.0,891,89828,100,0.0018592308042570949,0.14633379876613617,-245.47621154785156
190022,2415.228467916667,72,1321.0,943,95112,100,0.0016389044467359781,0.1126394048333168,-244.66629028320312
200590,2433.6314760657897,76,1321.0,996,100396,100,0.00155776331666857,0.08995065838098526,-242.4694366455078
211158,2450.6779182625,80,1321.0,1048,105680,100,0.001578949624672532,0.09920857846736908,-240.59112548828125
221726,2466.1041208690476,84,1321.0,1101,110964,100,0.0016122858505696058,0.09696226567029953,-241.79312133789062
232294,2479.9849946590907,88,1321.0,1154,116248,100,0.0016814933624118567,0.11707835644483566,-239.93338012695312
242862,2492.988724565217,92,1321.0,1207,121532,100,0.001494283089414239,0.09274179488420486,-239.62855529785156
253430,2507.90929275,96,1321.0,1258,126816,100,0.00137309858109802,0.0903712585568428,-237.4189453125
263998,2521.8824695599997,100,1321.0,1310,132100,100,0.0013422062620520592,0.08250212669372559,-237.63897705078125
274566,2610.3526834,104,1321.0,1361,137384,100,0.001357003697194159,0.06945599615573883,-236.1104736328125
285134,2650.68135122,108,1321.0,1413,142668,100,0.001375933992676437,0.06519869714975357,-237.44874572753906
295702,2673.97194043,112,1321.0,1464,147952,101,0.001353375962935388,0.07611536979675293,-237.9254608154297
306270,2690.1242387400002,116,1321.0,1517,153236,100,0.0013490256387740374,0.05682912468910217,-235.437255859375
316838,2707.6675148,120,1321.0,1567,158520,101,0.001299695111811161,0.05589623004198074,-235.28273010253906
327406,2740.32151284,124,1321.0,1618,163804,101,0.001338538946583867,0.07207763940095901,-235.93783569335938
337974,2767.84619538,128,1321.0,1670,169088,101,0.0013382000615820289,0.05627913773059845,-236.96853637695312
348542,2792.0048231599994,132,1321.0,1723,174372,101,0.0013357067946344614,0.06778686493635178,-236.345458984375
359110,2810.9919656200004,136,1321.0,1774,179656,101,0.0013592795003205538,0.0645083338022232,-237.92115783691406
369678,2825.85274677,140,1321.0,1827,184940,101,0.0014091538032516837,0.06922120600938797,-237.64686584472656
380246,2839.85075602,144,1321.0,1879,190224,101,0.0013660650001838803,0.0742446705698967,-237.96209716796875
390814,2854.1214048900006,148,1321.0,1930,195508,101,0.0013743910240009427,0.09020504355430603,-237.4225311279297
401382,2866.56888752,152,1321.0,1981,200792,101,0.0014058497035875916,0.06232810020446777,-240.53317260742188
411950,2878.1014374099996,156,1321.0,2033,206076,101,0.001470755087211728,0.08329161256551743,-239.71261596679688
422518,2889.63545305,160,1321.0,2085,211360,101,0.0014400864019989967,0.06897443532943726,-239.53045654296875
433086,2903.3264141300006,164,1321.0,2138,216644,101,0.0013909805566072464,0.08024521917104721,-240.66900634765625
443654,2915.3866249500006,168,1321.0,2190,221928,101,0.0013665106380358338,0.05918291211128235,-240.698974609375
454222,2925.81378549,172,1321.0,2242,227212,101,0.0013226884184405208,0.05051104351878166,-239.43441772460938
464790,2937.0721206399994,176,1321.0,2294,232496,101,0.001318315975368023,0.0885576382279396,-240.55975341796875
475358,2948.38073777,180,1321.0,2346,237780,101,0.0013272417709231377,0.049722786992788315,-241.1931915283203
485926,2959.84686628,184,1321.0,2398,243064,101,0.0013120980001986027,0.06521274894475937,-239.9833984375
496494,2971.62249532,188,1321.0,2450,248348,101,0.0013443559873849154,0.050924431532621384,-239.92578125
507062,2983.6531010799995,192,1321.0,2502,253632,101,0.0013779910514131188,0.045828916132450104,-239.60275268554688
517630,2993.19940017,196,1321.0,2553,258916,101,0.001326065044850111,0.05715920031070709,-239.25588989257812
528198,3002.55630925,200,1321.0,2605,264200,101,0.0013628002488985658,0.04917678236961365,-239.8450927734375
538766,3011.15451536,204,1321.0,2656,269484,101,0.0013775777770206332,0.05741378292441368,-242.2036590576172
549334,3018.9356250200008,208,1321.0,2707,274768,101,0.0013427510857582092,0.042343031615018845,-239.760009765625
559902,3026.9907437800007,212,1321.0,2758,280052,101,0.0013636250514537096,0.05450674518942833,-239.54391479492188
570470,3035.1730279599997,216,1321.0,2809,285336,101,0.0013685810845345259,0.04402214661240578,-242.400390625
581038,3042.552300450001,220,1321.0,2860,290620,101,0.0013824703637510538,0.06720812618732452,-242.427490234375
591606,3049.73040832,224,1321.0,2912,295904,101,0.0013997693313285708,0.06613828241825104,-242.25823974609375
602174,3056.54243514,228,1321.0,2964,301188,101,0.0013722038129344583,0.04626161977648735,-241.3944549560547
612742,3061.969572780001,232,1321.0,3016,306472,101,0.0013941186480224133,0.04418378323316574,-242.46588134765625
623310,3068.0429978499997,236,1321.0,3068,311756,101,0.0013545393012464046,0.046805862337350845,-243.3582763671875
633878,3074.5319691600002,240,1321.0,3120,317040,101,0.0014026884455233812,0.055340010672807693,-241.28802490234375
644446,3081.70984258,244,1321.0,3171,322324,101,0.0013854869175702333,0.04208403080701828,-242.06509399414062
655014,3087.3857355600003,248,1321.0,3223,327608,101,0.0014072649646550417,0.04813658818602562,-241.6219482421875
665582,3093.06112447,252,1321.0,3276,332892,101,0.0014077831292524934,0.04966985806822777,-241.75547790527344
676150,3099.7887219599997,256,1321.0,3327,338176,101,0.0014249312225729227,0.050689779222011566,-242.40252685546875
686718,3106.73125654,260,1321.0,3378,343460,101,0.001435972168110311,0.04661684110760689,-242.70773315429688
697286,3114.0431447999995,264,1321.0,3430,348744,101,0.0014181493315845728,0.04928218573331833,-244.05093383789062
707854,3120.8009507000006,268,1321.0,3482,354028,101,0.001417277380824089,0.04557427391409874,-242.68724060058594
718422,3127.4591054400003,272,1321.0,3533,359312,101,0.0014221521560102701,0.05735370144248009,-242.64434814453125
728990,3133.6216464699996,276,1321.0,3584,364596,101,0.0014258024748414755,0.04654049500823021,-243.695556640625
739558,3139.46577025,280,1321.0,3636,369880,101,0.0014569637132808566,0.05664302781224251,-242.37864685058594
750126,3145.274732570001,284,1321.0,3688,375164,101,0.0014449789887294173,0.06031652167439461,-243.84280395507812
760694,3150.4801740499997,288,1321.0,3740,380448,101,0.0014653236139565706,0.0464390404522419,-243.6466064453125
771262,3155.30639891,292,1321.0,3792,385732,101,0.001454074401408434,0.06500457972288132,-242.72560119628906
781830,3159.6566449299994,296,1321.0,3844,391016,101,0.0015053135575726628,0.05220046266913414,-244.85964965820312
792398,3164.6823013500007,300,1321.0,3896,396300,101,0.0014424030669033527,0.046079084277153015,-244.17410278320312
802966,3168.80901641,304,1321.0,3948,401584,101,0.0014430221635848284,0.050604887306690216,-243.9137420654297
813534,3173.9089719999993,308,1321.0,3999,406868,101,0.001455119694583118,0.04635380953550339,-243.74609375
824102,3177.6323758199997,312,1321.0,4052,412152,101,0.0014898121589794755,0.05285908654332161,-244.78311157226562
834670,3181.53537495,316,1321.0,4104,417436,101,0.001479804515838623,0.04906723275780678,-243.97271728515625
845238,3186.245101909999,320,1321.0,4156,422720,101,0.0014722286723554134,0.044966861605644226,-243.83758544921875
855806,3190.23619391,324,1321.0,4208,428004,101,0.0014504187274724245,0.05502298101782799,-244.11529541015625
866374,3193.8868183799996,328,1321.0,4260,433288,101,0.0014650407247245312,0.04986834526062012,-243.6575164794922
876942,3197.8241250199994,332,1321.0,4312,438572,101,0.001471737283281982,0.05568613484501839,-244.4988250732422
887510,3200.995768649999,336,1321.0,4364,443856,101,0.001476638950407505,0.0519019216299057,-244.33677673339844
898078,3204.0721724399996,340,1321.0,4415,449140,101,0.0014707306399941444,0.045725833624601364,-244.2105712890625
908646,3206.3577886399994,344,1321.0,4467,454424,101,0.0014599993592128158,0.056586332619190216,-244.28460693359375
919214,3209.7629753799997,348,1321.0,4519,459708,101,0.0014786702813580632,0.060344599187374115,-244.06393432617188
929782,3213.00779949,352,1321.0,4572,464992,101,0.0014352890430018306,0.0490172803401947,-245.18832397460938
940350,3214.94846831,356,1321.0,4624,470276,101,0.001455578370951116,0.04733475297689438,-244.80508422851562
950918,3217.2521939099997,360,1321.0,4676,475560,101,0.0014770283596590161,0.054289206862449646,-244.77908325195312
961486,3219.34737871,364,1321.0,4728,480844,101,0.0014814268797636032,0.055404242128133774,-246.01365661621094
972054,3222.2853708099997,368,1321.0,4780,486128,101,0.001480962848290801,0.03847777843475342,-245.0124969482422
982622,3224.8193074600003,372,1321.0,4832,491412,101,0.001448853756301105,0.05449124798178673,-244.83172607421875
993190,3227.4268669400003,376,1321.0,4884,496696,101,0.0014554638182744384,0.05230870842933655,-245.2764129638672
1003758,3229.89474895,380,1321.0,4937,501980,101,0.001453370787203312,0.04929669201374054,-245.44522094726562
1014326,3232.34119481,384,1321.0,4990,507264,101,0.0014583690790459514,0.06083054468035698,-245.50390625
1024894,3235.3686185200004,388,1321.0,5042,512548,101,0.0014633566606789827,0.053225792944431305,-245.32974243164062
1035462,3238.83241429,392,1321.0,5094,517832,101,0.0014668609946966171,0.037139132618904114,-244.64010620117188
1046030,3241.3532406899994,396,1321.0,5146,523116,101,0.001471149269491434,0.043405257165431976,-244.2259521484375
1056598,3243.2752563000004,400,1321.0,5198,528400,101,0.0014507494634017348,0.050825200974941254,-246.55850219726562
1067166,3245.2642017800013,404,1321.0,5250,533684,101,0.0014956938102841377,0.04589784890413284,-245.91574096679688
1077734,3246.947324,408,1321.0,5303,538968,101,0.0014848795253783464,0.04399465024471283,-244.9335174560547
1088302,3249.8010467000004,412,1321.0,5355,544252,101,0.0014829131541773677,0.045027293264865875,-244.58499145507812
1098870,3252.1709224099995,416,1321.0,5407,549536,101,0.001474838238209486,0.04104124754667282,-244.94163513183594
1109438,3253.51377863,420,1321.0,5460,554820,101,0.001451135496608913,0.06932465732097626,-245.35800170898438
1120006,3255.0694140299997,424,1321.0,5512,560104,101,0.0014976606471464038,0.05553007870912552,-245.57839965820312
1130574,3257.0260246800003,428,1321.0,5564,565388,101,0.0014830823056399822,0.054524876177310944,-245.81918334960938
1141142,3259.0592235900003,432,1321.0,5616,570672,101,0.0014896445209160447,0.049322716891765594,-244.90960693359375
1151710,3260.0895718900006,436,1321.0,5669,575956,101,0.0014801735524088144,0.04134972020983696,-244.78814697265625
1162278,3261.75030929,440,1321.0,5721,581240,101,0.0014957174425944686,0.0481560081243515,-245.01016235351562
1172846,3263.92961454,444,1321.0,5774,586524,101,0.001500756130553782,0.05160851031541824,-245.30404663085938
1183414,3266.03427429,448,1321.0,5826,591808,101,0.0015144702047109604,0.052409496158361435,-247.30453491210938
1193982,3268.2990841499995,452,1321.0,5879,597092,101,0.0015131779946386814,0.04769018292427063,-246.0081787109375
1204550,3270.378984660001,456,1321.0,5933,602376,101,0.0015184531221166253,0.05939747765660286,-246.68289184570312
1215118,3272.11755346,460,1321.0,5986,607660,101,0.0015330194728448987,0.06883922964334488,-247.9528350830078
1225686,3274.07774107,464,1321.0,6038,612944,101,0.0015232603764161468,0.04495788365602493,-244.70947265625
1236254,3274.7011320299994,468,1321.0,6091,618228,101,0.001520401332527399,0.04495233669877052,-247.6146240234375
