train/n_updates,train/critic_loss,time/episodes,train/actor_loss,time/fps,train/ent_coef,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean
6102,0.19184081256389618,4,-477.62054443359375,73,0.4538572430610657,3152,210.44211075,42,788.0
12406,0.04637214168906212,8,-615.006103515625,84,0.22169193625450134,6304,457.275366375,74,788.0
18710,0.027321230620145798,12,-599.6220703125,89,0.11023100465536118,9456,663.7003818333333,105,788.0
25014,0.03543034940958023,16,-533.4502563476562,91,0.05511564761400223,12608,806.1008113125,137,788.0
31318,0.040548719465732574,20,-458.60638427734375,93,0.02779804915189743,15760,907.58651565,168,788.0
37622,0.03780393302440643,24,-393.6250915527344,95,0.01422183495014906,18912,984.9473187500001,198,788.0
43926,0.031016439199447632,28,-343.78411865234375,95,0.007495763245970011,22064,1049.2464240714287,230,788.0
50230,0.02302027866244316,32,-306.9115295410156,96,0.004061584360897541,25216,1098.00198878125,261,788.0
56534,0.02067643590271473,36,-279.6807861328125,96,0.002333166776224971,28368,1138.9077503888889,292,788.0
62838,0.019604284316301346,40,-260.96038818359375,97,0.0014580055139958858,31520,1171.396176775,323,788.0
69142,0.024353688582777977,44,-247.98757934570312,97,0.001187433605082333,34672,1199.103350772727,354,788.0
75446,0.03816983103752136,48,-240.74932861328125,98,0.0011761334026232362,37824,1222.5140531875002,384,788.0
81750,0.03844182938337326,52,-232.44009399414062,98,0.001118625863455236,40976,1241.895173769231,415,788.0
88054,0.04041032865643501,56,-230.17153930664062,98,0.0010791370877996087,44128,1259.1321794285716,446,788.0
94358,0.04216502606868744,60,-227.05078125,98,0.001113995793275535,47280,1275.6203588833334,477,788.0
100662,0.028193606063723564,64,-223.45260620117188,99,0.0010578278452157974,50432,1290.18617575,508,788.0
106966,0.0215282179415226,68,-220.36758422851562,99,0.0010405094362795353,53584,1304.6523683382352,539,788.0
113270,0.020168639719486237,72,-219.34640502929688,99,0.001059439149685204,56736,1318.263997527778,569,788.0
119574,0.020062973722815514,76,-217.10977172851562,99,0.0010704282904043794,59888,1330.4193015921053,601,788.0
125878,0.016859915107488632,80,-218.97201538085938,99,0.0011069459142163396,63040,1342.5306222000002,632,788.0
132182,0.01598556526005268,84,-218.42916870117188,99,0.0010871689300984144,66192,1353.9485581904762,663,788.0
138486,0.016173433512449265,88,-216.45745849609375,99,0.0010850058170035481,69344,1364.5782173068183,695,788.0
144790,0.015551668591797352,92,-217.36642456054688,99,0.0011003761319443583,72496,1374.7454226304349,726,788.0
151094,0.01608818769454956,96,-216.408447265625,99,0.0010872690472751856,75648,1384.2529520416667,757,788.0
157398,0.016143590211868286,100,-214.4292755126953,99,0.0010932981967926025,78800,1393.3522776300003,788,788.0
163702,0.014244366437196732,104,-217.08062744140625,99,0.001095075742341578,81952,1449.4528534199999,819,788.0
170006,0.013695511035621166,108,-216.05499267578125,100,0.0010823780903592706,85104,1486.0470875499998,850,788.0
176310,0.012698208913207054,112,-218.44837951660156,100,0.001096503809094429,88256,1508.08446544,882,788.0
182614,0.013368453830480576,116,-215.88430786132812,100,0.0011068498715758324,91408,1524.3124802200002,913,788.0
188918,0.012134498916566372,120,-217.66317749023438,100,0.0011406479170545936,94560,1538.0032669900002,944,788.0
195222,0.01339935977011919,124,-217.280029296875,100,0.0011396377813071012,97712,1549.4195996800001,976,788.0
201526,0.012949420139193535,128,-218.216552734375,100,0.001149419811554253,100864,1558.72075435,1006,788.0
207830,0.012437923811376095,132,-217.20159912109375,100,0.0011828335700556636,104016,1567.9629237799998,1037,788.0
214134,0.012159112840890884,136,-220.62757873535156,100,0.0011839395156130195,107168,1576.6701968200002,1069,788.0
220438,0.011880630627274513,140,-219.9132080078125,100,0.0011847674613818526,110320,1585.66833946,1101,788.0
226742,0.01166225504130125,144,-221.81930541992188,100,0.0012084709014743567,113472,1594.41459933,1133,788.0
233046,0.011375662870705128,148,-219.66748046875,100,0.001220746780745685,116624,1602.7342158800002,1164,788.0
239350,0.01277593057602644,152,-221.289794921875,100,0.0012339409440755844,119776,1611.6921328899998,1195,788.0
245654,0.01226863544434309,156,-221.427490234375,100,0.0012324567651376128,122928,1620.5717731399998,1227,788.0
251958,0.012831436470150948,160,-225.42002868652344,100,0.0012515929993242025,126080,1628.6206242800001,1258,788.0
258262,0.012595652602612972,164,-224.42831420898438,100,0.0012528116349130869,129232,1636.8598450500003,1289,788.0
264566,0.014315611682832241,168,-227.06080627441406,100,0.0012599799083545804,132384,1644.20508963,1321,788.0
270870,0.012754416093230247,172,-224.93849182128906,100,0.0012533708941191435,135536,1651.28743873,1353,788.0
277174,0.013756993226706982,176,-226.61766052246094,100,0.0012572839623317122,138688,1658.21502628,1384,788.0
283478,0.012530076317489147,180,-225.82420349121094,100,0.0012739873491227627,141840,1664.7025299000002,1416,788.0
289782,0.01081150583922863,184,-224.14889526367188,100,0.0012694840552285314,144992,1671.0286350100002,1448,788.0
296086,0.011297350749373436,188,-224.780517578125,100,0.0012672542361542583,148144,1677.1507170799998,1480,788.0
302390,0.012337089516222477,192,-227.84353637695312,100,0.0012680563377216458,151296,1682.8973340599998,1511,788.0
308694,0.011686141602694988,196,-227.65139770507812,100,0.0012612547725439072,154448,1688.4589577200002,1542,788.0
314998,0.012009751051664352,200,-226.0865936279297,100,0.0012689358554780483,157600,1693.95841943,1574,788.0
321302,0.011233643628656864,204,-226.2653045654297,100,0.0012623167131096125,160752,1699.6416057200001,1606,788.0
327606,0.011594079434871674,208,-227.67703247070312,100,0.0012831983622163534,163904,1705.1252721200005,1638,788.0
333910,0.013257249258458614,212,-228.30691528320312,100,0.001295306719839573,167056,1710.4978826,1669,788.0
340214,0.012431740760803223,216,-227.74795532226562,100,0.0012893693055957556,170208,1715.3887714500001,1701,788.0
346518,0.011162779293954372,220,-226.6536407470703,100,0.0012972612166777253,173360,1719.64428556,1732,788.0
352822,0.012383759021759033,224,-231.214599609375,100,0.0013022988568991423,176512,1724.2556399700002,1764,788.0
359126,0.011805932968854904,228,-229.83482360839844,100,0.0013065114617347717,179664,1728.56359966,1796,788.0
365430,0.013201377354562283,232,-231.07327270507812,100,0.001303287805058062,182816,1732.7296679199999,1827,788.0
371734,0.014368019066751003,236,-229.9696502685547,100,0.0013129116268828511,185968,1736.2636954700001,1858,788.0
378038,0.01201718021184206,240,-230.17697143554688,100,0.0013213728088885546,189120,1739.8819819300004,1890,788.0
384342,0.014788697473704815,244,-229.25961303710938,100,0.0013194599887356162,192272,1743.4576044300002,1921,788.0
390646,0.012542909011244774,248,-231.02015686035156,100,0.0012970768148079515,195424,1747.0398616999998,1952,788.0
396950,0.01259299460798502,252,-231.34573364257812,100,0.0013075759634375572,198576,1750.23395875,1984,788.0
403254,0.012509356252849102,256,-232.67184448242188,100,0.0012850831262767315,201728,1753.4375405399996,2015,788.0
409558,0.010466943494975567,260,-230.735107421875,100,0.001292659086175263,204880,1756.8621802,2046,788.0
415862,0.01119159534573555,264,-233.7307891845703,100,0.0012979268794879317,208032,1760.0977053499998,2077,788.0
422166,0.01261418778449297,268,-230.72549438476562,100,0.0013139782240614295,211184,1763.2494907900002,2109,788.0
428470,0.012632806785404682,272,-230.646728515625,100,0.0013303877785801888,214336,1766.2537641700003,2140,788.0
434774,0.01126847229897976,276,-232.48175048828125,100,0.0013112466549500823,217488,1769.7124385500001,2171,788.0
441078,0.014536275528371334,280,-231.5985870361328,100,0.001327352481894195,220640,1772.6377304300001,2202,788.0
447382,0.01121061947196722,284,-232.31338500976562,100,0.0013261896092444658,223792,1775.6393072700002,2234,788.0
453686,0.011628752574324608,288,-232.60523986816406,100,0.0013396174181252718,226944,1778.5738298299998,2266,788.0
459990,0.012899326160550117,292,-235.35791015625,100,0.0013365745544433594,230096,1781.530873,2298,788.0
466294,0.011458867229521275,296,-235.128173828125,100,0.001351964077912271,233248,1784.3926513100002,2329,788.0
472598,0.012436454184353352,300,-235.02774047851562,100,0.0013572335010394454,236400,1786.9550805399997,2361,788.0
478902,0.011982959695160389,304,-233.7117919921875,100,0.0013432505074888468,239552,1789.19326588,2393,788.0
485206,0.011790954507887363,308,-233.14764404296875,100,0.0013552106684073806,242704,1791.7949201299996,2425,788.0
491510,0.011063635349273682,312,-234.66448974609375,100,0.0013379078591242433,245856,1793.99623659,2457,788.0
497814,0.011611199006438255,316,-233.69918823242188,99,0.001333344029262662,249008,1796.45129354,2490,788.0
