train/n_updates,time/fps,time/time_elapsed,train/ent_coef,time/episodes,time/total_timesteps,rollout/ep_len_mean,train/critic_loss,train/actor_loss,rollout/ep_rew_mean
1062,36,17,0.8574458360671997,4,632,158.0,2.0734095573425293,-109.8004150390625,40.24826775
2326,52,24,0.7225603461265564,8,1264,158.0,0.34508851170539856,-233.33538818359375,40.18077625
3590,61,30,0.6146916747093201,12,1896,158.0,0.2712196111679077,-335.55657958984375,38.473008916666664
4854,67,37,0.5264251232147217,16,2528,158.0,0.23654475808143616,-417.2084045410156,44.780538875000005
6118,71,44,0.4529605805873871,20,3160,158.0,0.16735652089118958,-481.2154846191406,54.66048705000001
7382,74,51,0.39103415608406067,24,3792,158.0,0.11919839680194855,-530.0076293945312,63.55936091666666
8646,76,57,0.3383323550224304,28,4424,158.0,0.08590682595968246,-566.3345336914062,73.23399925000001
9910,78,64,0.2931809425354004,32,5056,158.0,0.0704626515507698,-592.2835693359375,83.11451796875
11174,80,71,0.254319429397583,36,5688,158.0,0.05479762330651283,-609.554443359375,92.84387777777778
12438,81,77,0.2207683026790619,40,6320,158.0,0.04378937557339668,-619.846435546875,102.28157167499998
13702,82,84,0.19174529612064362,44,6952,158.0,0.04046586900949478,-624.1300048828125,111.08943306818182
14966,83,90,0.16660061478614807,48,7584,158.0,0.03331493213772774,-623.9095458984375,119.16709895833334
16230,83,97,0.14479489624500275,52,8216,158.0,0.03286872059106827,-619.7981567382812,127.41948296153848
17494,84,104,0.12586969137191772,56,8848,158.0,0.028968024998903275,-613.062255859375,135.47970010714286
18758,85,111,0.10944462567567825,60,9480,158.0,0.026928121224045753,-603.5631713867188,142.89691961666668
