rollout/ep_rew_mean,time/fps,time/episodes,time/total_timesteps,time/time_elapsed,train/lag_coef,train/n_updates,train/safe_critic_loss,rollout/ep_cost_mean,rollout/ep_len_mean,train/actor_loss,train/ent_coef,train/critic_loss
-476.67095375,46,4,5284,114,4.420598983764648,10366,1.6278287172317505,440.75,1321.0,1348.046142578125,0.2929087281227112,1.2457326650619507
-1270.631849,49,8,10568,215,5.0,20934,0.3665974736213684,394.625,1321.0,452.100830078125,0.09712440520524979,0.4481428861618042
-1958.992647916667,50,12,15852,316,5.0,31502,0.5600677132606506,371.9166666666667,1321.0,-659.5510864257812,0.04267645999789238,3.982779026031494
-2363.28730125,50,16,21136,419,5.0,42070,0.165273055434227,380.0,1321.0,-1459.388427734375,0.022979747503995895,1.5927592515945435
-2691.1281326,50,20,26420,521,5.0,52638,0.11275903135538101,361.3,1321.0,-1800.0272216796875,0.022037429735064507,1.3155858516693115
-2938.888551416667,50,24,31704,623,5.0,63206,0.10460159182548523,333.125,1321.0,-1974.00732421875,0.020419958978891373,1.361228108406067
-3153.364550321429,51,28,36988,723,5.0,73774,0.09636178612709045,317.64285714285717,1321.0,-2048.403564453125,0.019345751032233238,1.3986846208572388
-3336.1088481874995,51,32,42272,825,5.0,84342,0.1094905436038971,306.15625,1321.0,-2097.64990234375,0.022064553573727608,1.8182772397994995
-3499.6309944444442,51,36,47556,926,5.0,94910,0.09243198484182358,294.1388888888889,1321.0,-2136.794921875,0.01727168634533882,1.0385923385620117
-3625.3136821,51,40,52840,1028,5.0,105478,0.09482623636722565,284.8,1321.0,-2107.5703125,0.016013653948903084,0.7324297428131104
-3739.9269283636368,51,44,58124,1129,5.0,116046,0.11932659894227982,278.8863636363636,1321.0,-2137.638671875,0.017950432375073433,0.7293136715888977
-3841.813189395833,51,48,63408,1231,5.0,126614,0.1399679183959961,269.9375,1321.0,-2167.454833984375,0.01757616549730301,0.4495396316051483
-3943.2659464999992,51,52,68692,1332,5.0,137182,0.11162682622671127,258.78846153846155,1321.0,-2170.2509765625,0.016734538599848747,0.3533162772655487
-4040.7835335357136,51,56,73976,1432,5.0,147750,0.10574343800544739,250.05357142857142,1321.0,-2153.390625,0.016291478648781776,0.3114910423755646
-4132.064732883333,51,60,79260,1534,5.0,158318,0.11535228043794632,243.23333333333332,1321.0,-2153.079833984375,0.016431769356131554,0.49033087491989136
-4211.19636628125,51,64,84544,1635,5.0,168886,0.10118250548839569,237.671875,1321.0,-2157.459716796875,0.0165982935577631,0.3301081657409668
-4289.606838485293,51,68,89828,1735,5.0,179454,0.11372322589159012,229.88235294117646,1321.0,-2162.19775390625,0.01707114838063717,0.30633997917175293
-4357.648708763889,51,72,95112,1836,5.0,190022,0.15843313932418823,223.93055555555554,1321.0,-2221.7548828125,0.019954118877649307,0.38418787717819214
-4428.542031421052,51,76,100396,1937,5.0,200590,0.11701145768165588,218.6184210526316,1321.0,-2243.82763671875,0.018192267045378685,0.4104457199573517
-4490.5243558125,51,80,105680,2038,5.0,211158,0.11098190397024155,212.5375,1321.0,-2241.882568359375,0.01731543242931366,0.2542343735694885
-4549.864330380953,51,84,110964,2139,5.0,221726,0.10547277331352234,208.77380952380952,1321.0,-2243.884765625,0.01741667278110981,0.2505964934825897
-4602.975029090909,51,88,116248,2239,5.0,232294,0.11097554117441177,206.27272727272728,1321.0,-2246.50244140625,0.017977792769670486,0.3618267774581909
-4639.529847836956,51,92,121532,2340,5.0,242862,0.10946425795555115,205.19565217391303,1321.0,-2299.76318359375,0.01637171395123005,0.5110202431678772
-4687.14274546875,51,96,126816,2441,5.0,253430,0.10636135935783386,202.10416666666666,1321.0,-2267.63330078125,0.016038741916418076,0.32670313119888306
-4732.64217225,51,100,132100,2543,5.0,263998,0.09255106002092361,198.8,1321.0,-2247.58544921875,0.015630388632416725,0.27466320991516113
-4942.370373000001,51,104,137384,2644,5.0,274566,0.09628341346979141,187.02,1321.0,-2242.72119140625,0.01593523472547531,0.7496281862258911
-5087.362491559999,51,108,142668,2745,5.0,285134,0.10433811694383621,177.57,1321.0,-2230.95166015625,0.015332534909248352,0.4534362256526947
-5184.447063770001,51,112,147952,2847,5.0,295702,0.08825953304767609,170.27,1321.0,-2226.2998046875,0.01570723205804825,0.4755597710609436
-5276.48202164,51,116,153236,2948,5.0,306270,0.09255398064851761,157.9,1321.0,-2221.49267578125,0.015397573821246624,0.4738759994506836
-5351.9764536600005,51,120,158520,3049,5.0,316838,0.0892743393778801,151.2,1321.0,-2219.665771484375,0.015545770525932312,0.4179006814956665
-5418.81361057,51,124,163804,3150,5.0,327406,0.08682359755039215,147.71,1321.0,-2225.01220703125,0.015274623408913612,0.5034549832344055
-5477.65379476,52,128,169088,3251,5.0,337974,0.08784061670303345,143.6,1321.0,-2217.56591796875,0.015087263658642769,0.3419339060783386
-5527.5715540599995,52,132,174372,3352,5.0,348542,0.08979160338640213,139.71,1321.0,-2221.806640625,0.015138955786824226,0.8480739593505859
-5570.1307957300005,52,136,179656,3453,5.0,359110,0.08360566198825836,136.34,1321.0,-2225.686767578125,0.014802181161940098,0.7114442586898804
-5614.92768909,52,140,184940,3554,5.0,369678,0.08283601701259613,133.61,1321.0,-2211.53662109375,0.01417780201882124,0.34050989151000977
-5656.01813544,52,144,190224,3655,5.0,380246,0.07653782516717911,130.08,1321.0,-2210.2060546875,0.014334683306515217,0.6071174740791321
-5693.831550500001,52,148,195508,3757,5.0,390814,0.08496087044477463,128.35,1321.0,-2205.702880859375,0.014124070294201374,0.4870997369289398
-5725.359949240001,52,152,200792,3858,5.0,401382,0.09035404771566391,128.85,1321.0,-2206.4365234375,0.014045116491615772,0.6799759268760681
-5749.701020399999,52,156,206076,3958,5.0,411950,0.07216714322566986,129.52,1321.0,-2200.9560546875,0.013731765560805798,0.45083296298980713
-5772.043440609999,52,160,211360,4059,5.0,422518,0.0681319385766983,128.92,1321.0,-2196.289794921875,0.013879414647817612,0.5032312870025635
-5791.710250889999,52,164,216644,4161,5.0,433086,0.07590974867343903,127.71,1321.0,-2197.943359375,0.013814977370202541,0.6431694030761719
-5810.08427613,52,168,221928,4262,5.0,443654,0.07538439333438873,127.88,1321.0,-2192.84765625,0.013453601859509945,0.326352596282959
-5830.78791317,52,172,227212,4363,5.0,454222,0.06841260939836502,127.64,1321.0,-2185.1494140625,0.012898304499685764,0.22929279506206512
-5842.82513711,52,176,232496,4464,5.0,464790,0.06857709586620331,128.09,1321.0,-2180.830078125,0.013243097811937332,0.38444262742996216
-5840.380202620002,52,180,237780,4567,5.0,475358,0.07034499943256378,134.71,1321.0,-2213.7412109375,0.012509933672845364,0.44479697942733765
-5853.79368872,52,184,243064,4668,5.0,485926,0.06246316805481911,134.12,1321.0,-2193.201904296875,0.01249926071614027,0.1904670000076294
-5868.43720155,52,188,248348,4769,5.0,496494,0.06255725026130676,133.17,1321.0,-2182.18408203125,0.012782907113432884,0.16496986150741577
-5893.580970169998,52,192,253632,4870,5.0,507062,0.06460418552160263,130.93,1321.0,-2177.42138671875,0.012778257951140404,0.15602318942546844
-5905.487006649999,52,196,258916,4971,5.0,517630,0.06335919350385666,131.44,1321.0,-2175.275634765625,0.013027043081820011,0.14174827933311462
-5916.019022119999,52,200,264200,5072,5.0,528198,0.06179369240999222,131.69,1321.0,-2174.82568359375,0.01309671439230442,0.1427980661392212
-5899.15673371,52,204,269484,5175,5.0,538766,0.07349060475826263,139.95,1321.0,-2210.65673828125,0.01235244981944561,0.2368132323026657
-5915.70512738,52,208,274768,5276,5.0,549334,0.06178461015224457,140.92,1321.0,-2191.299560546875,0.012534020468592644,0.15228509902954102
-5929.4474721199995,52,212,280052,5377,5.0,559902,0.06250452995300293,140.68,1321.0,-2181.69970703125,0.012584631331264973,0.1390617936849594
-5939.858443279999,52,216,285336,5479,5.0,570470,0.05901696905493736,142.33,1321.0,-2176.115966796875,0.012489900924265385,0.1357342153787613
-5931.966158840001,52,220,290620,5581,5.0,581038,0.15901805460453033,148.16,1321.0,-2247.8388671875,0.02411603555083275,3.1439781188964844
-5931.296953730001,52,224,295904,5682,5.0,591606,0.06394544988870621,151.51,1321.0,-2222.66162109375,0.011913520283997059,0.2985326051712036
-5923.42925378,52,228,301188,5785,5.0,602174,0.05910523980855942,156.75,1321.0,-2209.392578125,0.011610058136284351,0.3348820209503174
-5933.90413867,52,232,306472,5887,5.0,612742,0.05593602731823921,157.6,1321.0,-2186.3935546875,0.011554795317351818,0.15888194739818573
-5945.72551989,52,236,311756,5988,5.0,623310,0.055813249200582504,159.81,1321.0,-2173.21630859375,0.011663938872516155,0.13297304511070251
-5957.531358960002,52,240,317040,6089,5.0,633878,0.05567919462919235,161.41,1321.0,-2166.208740234375,0.011836742982268333,0.11412683874368668
-5966.27673887,52,244,322324,6190,5.0,644446,0.06290353834629059,162.67,1321.0,-2162.44677734375,0.011903678998351097,0.1252850592136383
-5966.61489658,52,248,327608,6292,5.0,655014,0.07339704781770706,166.37,1321.0,-2195.27783203125,0.014485989697277546,1.2104897499084473
-5972.613395479999,52,252,332892,6394,5.0,665582,0.056053195148706436,168.68,1321.0,-2183.51904296875,0.011794498190283775,0.9366036057472229
