time/total_timesteps,train/safe_critic_loss,train/n_updates,train/actor_loss,time/episodes,rollout/ep_len_mean,rollout/ep_cost_mean,train/ent_coef,train/critic_loss,train/lag_coef,rollout/ep_rew_mean,time/fps,time/time_elapsed
632,1.6350518465042114,1062,-18.075836181640625,4,158.0,57.75,0.8574690818786621,1.6438645124435425,1.099350094795227,-6.582609,24,25
1264,0.32060733437538147,2326,69.3043212890625,8,158.0,57.25,0.7225849628448486,0.3338293135166168,1.4374126195907593,-8.929981125000001,33,37
1896,0.3025379180908203,3590,246.9876708984375,12,158.0,55.333333333333336,0.6147044897079468,0.30030354857444763,1.850606918334961,-13.196551416666667,37,49
2528,0.5170562267303467,4854,513.8946533203125,16,158.0,53.0625,0.5266739726066589,0.48049646615982056,2.357776165008545,-19.0595248125,40,61
3160,0.9335688352584839,6118,839.0049438476562,20,158.0,47.8,0.4548276364803314,0.8672844171524048,2.964668035507202,-35.789807350000004,42,73
3792,1.2255114316940308,7382,1168.1978759765625,24,158.0,43.708333333333336,0.3959309756755829,1.1187140941619873,3.6528501510620117,-53.500215375,44,85
4424,1.3098530769348145,8646,1508.5966796875,28,158.0,41.67857142857143,0.34747007489204407,1.2327849864959717,4.49146032333374,-74.97652896428572,45,97
5056,1.2868621349334717,9910,1631.968505859375,32,158.0,40.59375,0.30540522933006287,1.2134150266647339,5.0,-89.88267134375,46,109
5688,1.1691350936889648,11174,1506.633056640625,36,158.0,41.888888888888886,0.26844480633735657,1.091753363609314,5.0,-114.92291508333336,46,121
6320,1.111096739768982,12438,1335.2247314453125,40,158.0,42.675,0.2370079606771469,0.9933782815933228,5.0,-144.45820385,47,133
6952,0.9614408612251282,13702,1163.90380859375,44,158.0,43.61363636363637,0.208457350730896,0.8899354934692383,5.0,-169.76177838636363,47,145
7584,0.8859023451805115,14966,1011.3887939453125,48,158.0,43.416666666666664,0.18269789218902588,0.8407784104347229,5.0,-195.7512558333333,48,157
8216,0.7935668230056763,16230,841.3037109375,52,158.0,41.71153846153846,0.16059757769107819,0.761749804019928,5.0,-223.36233309615378,48,169
8848,0.6910097599029541,17494,676.1148681640625,56,158.0,39.57142857142857,0.14106158912181854,0.6929046511650085,5.0,-248.00684648214286,48,181
9480,0.5552656054496765,18758,520.3901977539062,60,158.0,37.983333333333334,0.12338348478078842,0.6294964551925659,5.0,-270.75718723333335,48,193
10112,0.412099152803421,20022,378.19329833984375,64,158.0,36.421875,0.10773155838251114,0.5146545767784119,5.0,-290.543305984375,49,205
10744,0.30844613909721375,21286,246.75686645507812,68,158.0,35.4264705882353,0.09393022209405899,0.39944472908973694,5.0,-307.53439277941175,49,217
11376,0.2839980125427246,22550,122.1317367553711,72,158.0,34.236111111111114,0.08196529000997543,0.3368927836418152,5.0,-323.28838911111114,49,229
12008,0.26375070214271545,23814,6.0260910987854,76,158.0,33.13157894736842,0.07157082110643387,0.2701509892940521,5.0,-337.6074847368421,49,240
12640,0.24824132025241852,25078,-105.05184936523438,80,158.0,32.9125,0.06252089887857437,0.26607847213745117,5.0,-351.2005647125,49,252
13272,0.29395487904548645,26342,-209.31906127929688,84,158.0,32.523809523809526,0.05469508096575737,0.3147988021373749,5.0,-362.5990027738095,50,265
13904,0.3790542781352997,27606,-310.93438720703125,88,158.0,32.44318181818182,0.047979094088077545,0.3519371449947357,5.0,-372.89156814772736,50,277
14536,0.478646457195282,28870,-411.7314453125,92,158.0,31.956521739130434,0.04223121702671051,0.4612407684326172,5.0,-382.2497902934784,50,289
15168,0.569941520690918,30134,-510.91375732421875,96,158.0,31.53125,0.037387557327747345,0.5681806206703186,5.0,-390.88187215625,50,301
15800,0.6200992465019226,31398,-607.0162963867188,100,158.0,31.05,0.03321823477745056,0.640164315700531,5.0,-399.4369878,50,313
16432,0.6318784952163696,32662,-699.306396484375,104,158.0,29.24,0.029602978378534317,0.7361943125724792,5.0,-423.55916467000003,50,324
17064,0.5617502331733704,33926,-787.5657958984375,108,158.0,27.89,0.026522165164351463,0.7296661734580994,5.0,-447.86095289,50,336
17696,0.467707097530365,35190,-868.57177734375,112,158.0,26.78,0.023840416222810745,0.7135910391807556,5.0,-471.52246476000005,50,348
18328,0.3036559522151947,36454,-944.7047119140625,116,158.0,25.59,0.02151605486869812,0.5853663086891174,5.0,-494.6608751499999,50,360
18960,0.17644274234771729,37718,-1015.2033081054688,120,158.0,25.38,0.01952621154487133,0.4782983958721161,5.0,-515.6385734199998,50,372
19592,0.12581227719783783,38982,-1080.5618896484375,124,158.0,25.3,0.01782101020216942,0.32074233889579773,5.0,-535.2995713299999,50,385
20224,0.0972360372543335,40246,-1141.36474609375,128,158.0,24.87,0.016283664852380753,0.2125423103570938,5.0,-552.26522884,50,396
20856,0.07940708845853806,41510,-1199.988037109375,132,158.0,24.48,0.015042101964354515,0.1586628556251526,5.0,-569.72609212,50,409
21488,0.07279044389724731,42774,-1253.9815673828125,136,158.0,23.18,0.014083370566368103,0.15437033772468567,5.0,-582.59403929,51,421
22120,0.06709205359220505,44038,-1307.342041015625,140,158.0,21.8,0.013488843105733395,0.12377110123634338,5.0,-591.98587921,51,433
22752,0.061563003808259964,45302,-1354.8026123046875,144,158.0,20.47,0.012977902777493,0.11671715974807739,5.0,-600.9425720500001,51,445
23384,0.06452308595180511,46566,-1399.0166015625,148,158.0,19.43,0.012478792108595371,0.11824487149715424,5.0,-607.4996924,51,457
24016,0.05611751601099968,47830,-1442.523681640625,152,158.0,19.13,0.012156473472714424,0.10713283717632294,5.0,-611.2854215399999,51,469
