r,l,t,c,precision,recall,f1,sustain_precision,sustain_recall,sustain_f1
-198.348486,1321,45.316799,464.0,0.6649949533181932,0.017386720017302907,0.01950078267262219,0.48523845571536717,1.0,0.48523845571536717
-240.185798,1321,71.017121,498.0,0.6397065715006669,0.019454958364875093,0.021181808350619856,0.46328538985616957,1.0,0.46328538985616957
-760.248767,1321,97.623636,341.0,0.7544032298763562,0.014372228830972208,0.01656453143962606,0.22482967448902347,1.0,0.22482967448902347
-966.44283,1321,123.503751,526.0,0.6201867272268483,0.014950794852384557,0.01770871907132316,0.10446631339894019,1.0,0.10446631339894019
-1186.682263,1321,149.213599,285.0,0.7944053927399877,0.014234346274467393,0.014606593675480884,0.03179409538228615,1.0,0.03179409538228615
-1728.611403,1321,174.833678,381.0,0.7296997224325007,0.02272358602790094,0.0222618747221321,0.001514004542013626,1.0,0.001514004542013626
-2644.678505,1321,200.779997,343.0,0.7482985472765942,0.01033938935150139,0.00977559743646042,0.0,1.0,0.0
-3263.832326,1321,226.175472,138.0,0.8991294473883422,0.004542013626040878,0.005266572942575971,0.0,1.0,0.0
-3484.811222,1321,252.087397,366.0,0.734784254352763,0.01213456616560326,0.015761486389798275,0.0,1.0,0.0
-3636.095375,1321,278.287293,403.0,0.707292455210699,0.014502901842038857,0.016560325871453806,0.0,1.0,0.0
-3479.242081,1321,304.118425,278.0,0.8029595184023648,0.015509534623841963,0.019012226733649898,0.0,1.0,0.0
-3615.04198,1321,330.11754,296.0,0.791352150246927,0.01854655563966692,0.021256197751277236,0.008327024981074944,1.0,0.008327024981074944
-3816.29842,1321,355.756993,188.0,0.8655816300782236,0.005880285497999351,0.007109922628469184,0.000757002271006813,1.0,0.000757002271006813
-2941.404194,1321,381.7573,645.0,0.5595652644100789,0.04982066255722576,0.04952362382339672,0.000757002271006813,1.0,0.000757002271006813
-4017.06466,1321,407.597686,358.0,0.7454222390444949,0.01577088064597527,0.016565749835999646,0.003028009084027252,1.0,0.003028009084027252
-4048.246809,1321,433.213351,247.0,0.822341780517405,0.010724198839263184,0.011186828143679016,0.0,1.0,0.0
-4127.93833,1321,459.532802,262.0,0.8090119317977001,0.009494070148877112,0.009570726186926035,0.006813020439061317,1.0,0.006813020439061317
-4194.297168,1321,485.393964,285.0,0.7949911683068382,0.014383043149129448,0.012812017656832193,0.009084027252081756,1.0,0.009084027252081756
-4193.680121,1321,510.943818,190.0,0.8616326015644714,0.00522241447676724,0.004916418428908966,0.001514004542013626,1.0,0.001514004542013626
-4301.510325,1321,536.653742,230.0,0.828930103456977,0.00406438124076277,0.004323979494305005,0.02043906131718395,1.0,0.02043906131718395
-4282.619536,1321,562.819287,206.0,0.8534317436285641,0.008304495151580693,0.009422329709990572,0.001514004542013626,1.0,0.001514004542013626
-4260.234919,1321,589.020118,237.0,0.8238708049457483,0.004605097148624779,0.00515132945110235,0.001514004542013626,1.0,0.001514004542013626
-4461.632644,1321,615.433525,258.0,0.8127681049709816,0.006094769474784614,0.006777027329638988,0.014383043149129448,1.0,0.014383043149129448
-4329.162317,1321,641.546573,203.0,0.8528261418117588,0.0067499369164774154,0.007818861263221595,0.00757002271006813,1.0,0.00757002271006813
-4412.000646,1321,667.236514,252.0,0.812515770880646,0.004605097148624779,0.004459704648955216,0.0,1.0,0.0
-4453.237872,1321,692.892839,206.0,0.8477416098914964,0.005481958112541005,0.006037393509005924,0.0,1.0,0.0
-4549.714716,1321,718.607417,225.0,0.8361216250315417,0.007557406005551349,0.007206541460894223,0.003785011355034065,1.0,0.003785011355034065
-4393.135502,1321,744.318536,215.0,0.840297754226596,0.0032488014130709056,0.0036024241550358127,0.009084027252081756,1.0,0.009084027252081756
-4453.692486,1321,769.976632,261.0,0.8079683500955264,0.008446883673984353,0.0068353044885974485,0.0,1.0,0.0
-4404.276746,1321,795.539489,186.0,0.8620237194044915,0.003785011355034065,0.003923194309265467,0.018925056775170326,1.0,0.018925056775170326
-4577.561321,1321,821.377015,245.0,0.8235121300601995,0.010884611225262247,0.011227136056810545,0.003028009084027252,1.0,0.003028009084027252
