r,l,t,c,precision,recall,f1,sustain_precision,sustain_recall,sustain_f1
0.220762,158,22.202082,59.0,0.629746835443038,0.06962025316455696,0.05485232067510548,0.8734177215189873,0.6139240506329114,0.4873417721518987
-9.778426,158,25.201186,67.0,0.5880801687763713,0.07858649789029536,0.05316455696202531,0.8607594936708861,0.6455696202531646,0.5063291139240507
1.666342,158,28.237678,54.0,0.6635021097046413,0.07489451476793248,0.04641350210970464,0.8734177215189873,0.6392405063291139,0.5126582278481012
-13.197744,158,31.231751,60.0,0.6255274261603375,0.07172995780590717,0.04092827004219409,0.8987341772151899,0.6265822784810127,0.5253164556962026
7.958729,158,34.225847,55.0,0.6650843881856541,0.08860759493670886,0.06571729957805907,0.9113924050632911,0.6708860759493671,0.5822784810126582
-10.558146,158,37.25286,57.0,0.6560126582278482,0.0959915611814346,0.047287522603978296,0.879746835443038,0.5632911392405063,0.4430379746835443
-6.888853,158,40.192672,50.0,0.7003164556962026,0.10443037974683544,0.07302591922845088,0.8607594936708861,0.6708860759493671,0.5316455696202531
-3.715653,158,43.21902,52.0,0.6708860759493671,0.06645569620253164,0.042194092827004225,0.8670886075949367,0.6582278481012658,0.5253164556962026
-1.902792,158,46.245084,62.0,0.6218354430379747,0.0981012658227848,0.07374924653405665,0.9050632911392406,0.6075949367088608,0.5126582278481012
4.424167,158,49.21626,48.0,0.714662447257384,0.08438818565400844,0.05940325497287523,0.879746835443038,0.6518987341772152,0.5316455696202531
-20.880122,158,52.197287,57.0,0.6408227848101266,0.06856540084388185,0.06298975286317059,0.9050632911392406,0.6012658227848101,0.5063291139240507
1.098132,158,55.156479,53.0,0.6719409282700421,0.08016877637130801,0.06793248945147679,0.9177215189873418,0.6075949367088608,0.5253164556962026
-46.556977,158,58.17903,51.0,0.6772151898734177,0.06540084388185653,0.03481012658227848,0.879746835443038,0.5063291139240507,0.3860759493670886
-54.047471,158,61.168983,48.0,0.7046413502109704,0.09071729957805906,0.036919831223628685,0.8924050632911392,0.46835443037974683,0.36075949367088606
