r,l,t,precision,recall,f1,sustain_precision,sustain_recall,sustain_f1
160.181187,150,4.534266,0.6588888888888889,0.15333333333333332,0.5073333333333332,0.7266666666666667,1.0,0.7266666666666667
327.652161,150,6.018944,0.6127777777777778,0.3233333333333333,0.5924444444444443,1.0,1.0,1.0
306.816065,150,7.503127,0.6411111111111111,0.22333333333333333,0.5419999999999999,0.9933333333333333,1.0,0.9933333333333333
313.259883,150,9.008244,0.6105555555555556,0.27,0.5928888888888889,1.0,1.0,1.0
319.74452,150,10.50014,0.6466666666666666,0.25,0.587111111111111,1.0,1.0,1.0
326.191268,150,12.008649,0.6744444444444444,0.24,0.5122222222222221,1.0,1.0,1.0
338.504201,150,13.529371,0.7577777777777778,0.33666666666666667,0.5719999999999998,0.9866666666666667,1.0,0.9866666666666667
338.782013,150,15.033504,0.7935555555555556,0.3466666666666667,0.5079047619047617,1.0,1.0,1.0
328.747377,150,16.515838,0.6911111111111111,0.31,0.5311111111111111,1.0,1.0,1.0
324.524659,150,18.02941,0.676111111111111,0.27666666666666667,0.5353333333333332,1.0,1.0,1.0
332.047266,150,19.524097,0.7755555555555556,0.22,0.467111111111111,1.0,1.0,1.0
336.823602,150,21.036604,0.74,0.35,0.5471111111111111,1.0,1.0,1.0
337.130982,150,22.534559,0.7533333333333333,0.3,0.5666666666666665,1.0,1.0,1.0
322.295097,150,24.081155,0.6705555555555556,0.3233333333333333,0.5595555555555554,1.0,1.0,1.0
348.435051,150,25.599874,0.821111111111111,0.3433333333333333,0.5202222222222221,1.0,1.0,1.0
333.451724,150,27.084034,0.696111111111111,0.3,0.5908888888888888,1.0,1.0,1.0
357.244325,150,28.582397,0.8522222222222222,0.39666666666666667,0.6037777777777776,1.0,1.0,1.0
352.222028,150,30.110613,0.8288888888888889,0.37333333333333335,0.5826666666666666,1.0,1.0,1.0
352.272195,150,31.603532,0.8677777777777778,0.36333333333333334,0.5277777777777777,1.0,1.0,1.0
361.797584,150,33.084462,0.89,0.38666666666666666,0.5944444444444443,1.0,1.0,1.0
342.107315,150,34.574331,0.7505555555555555,0.34,0.5784444444444443,1.0,1.0,1.0
338.97424,150,36.064649,0.725,0.31666666666666665,0.6233333333333333,1.0,1.0,1.0
346.735161,150,37.557513,0.7977777777777777,0.37666666666666665,0.5844444444444444,1.0,1.0,1.0
